OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
Pezizaceae_sp_1	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza	Peziza_sp_1
Pleosporales_sp_1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Nothophoma	Nothophoma_ngayawang_1
Chaetothyriales_sp_1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Bisifusarium	Bisifusarium_biseptatum_1
Fungi_sp_1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_equiseti_1
Blastocladiales_sp_1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Chaetasbolisia	Chaetasbolisia_eupatorii_1
GS11_sp_1	Fungi	Ascomycota	Dothideomycetes	Muyocopronales	Muyocopronaceae	Arxiella	Arxiella_celtidis_1
Trichomeriaceae_sp_1	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Tuber	Tuber_mexiusanum_1
Fungi_sp_2	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Pezizaceae_gen_Incertae_sedis	Pezizaceae_sp_1
Thelephoraceae_sp_1	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Dothideomycetes_fam_Incertae_sedis	Pseudoarthrographis	Pseudoarthrographis_sp_1
Stachybotryaceae_sp_1	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Tuber	Tuber_brennemanii_1
Hypocreales_sp_1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_variasi_1
Longihyalospora_ampeli_1	Fungi	Ascomycota	Dothideomycetes	Coniosporiales	Coniosporiaceae	Coniosporium	Coniosporium_sp_1
Fungi_sp_3	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_brachygibbosum_1
Nectriaceae_sp_1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Bisifusarium	Bisifusarium_biseptatum_2
Mortierellales_sp_1	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella	Plectosphaerella_cucumerina_1
Agaricomycetes_sp_1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_sp_1
GS05_sp_1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia_americana_1
Trechisporales_sp_1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pleosporales_gen_Incertae_sedis	Pleosporales_sp_1
Discinellaceae_sp_1	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales_fam_Incertae_sedis	Chaetothyriales_gen_Incertae_sedis	Chaetothyriales_sp_1
Linnemannia_amoeboidea_1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_oxysporum_1
Rozellomycota_sp_1	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi_sp_1
Chaetothyriales_sp_2	Fungi	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiales_fam_Incertae_sedis	Blastocladiales_gen_Incertae_sedis	Blastocladiales_sp_1
Rozellomycota_sp_2	Fungi	Rozellomycota	Rozellomycotina_cls_Incertae_sedis	GS11	GS11_fam_Incertae_sedis	GS11_gen_Incertae_sedis	GS11_sp_1
Pezizaceae_sp_2	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Trichomeriaceae_gen_Incertae_sedis	Trichomeriaceae_sp_1
Ascomycota_sp_1	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi_sp_2
Ascomycota_sp_2	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Myrothecium	Myrothecium_inundatum_1
Lulworthiaceae_sp_1	Fungi	Ascomycota	Dothideomycetes	Coniosporiales	Coniosporiaceae	Coniosporium	Coniosporium_sp_2
Rhizophydiales_sp_1	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Retroconis	Retroconis_fusiformis_1
Kiskunsagia_ubrizsyi_5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_buharicum_1
Ascomycota_sp_3	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaeta	Pyrenochaeta_sp_1
Allocanariomyces_tritici_1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Remotididymella	Remotididymella_anthropophila_1
