OTU	primary_lifestyle	Genus	Species
Peziza_sp_1	soil_saprotroph	Peziza	Peziza_sp_1
Nothophoma_ngayawang_1	litter_saprotroph	Nothophoma	Nothophoma_ngayawang_1
Bisifusarium_biseptatum_1	litter_saprotroph	Bisifusarium	Bisifusarium_biseptatum_1
Fusarium_equiseti_1	plant_pathogen	Fusarium	Fusarium_equiseti_1
Chaetasbolisia_eupatorii_1	litter_saprotroph	Chaetasbolisia	Chaetasbolisia_eupatorii_1
Arxiella_celtidis_1	litter_saprotroph	Arxiella	Arxiella_celtidis_1
Tuber_mexiusanum_1	ectomycorrhizal	Tuber	Tuber_mexiusanum_1
Pezizaceae_sp_1	unknown_primary_lyfestyle	Pezizaceae_gen_Incertae_sedis	Pezizaceae_sp_1
Pseudoarthrographis_sp_1	plant_pathogen	Pseudoarthrographis	Pseudoarthrographis_sp_1
Tuber_brennemanii_1	ectomycorrhizal	Tuber	Tuber_brennemanii_1
Fusarium_variasi_1	plant_pathogen	Fusarium	Fusarium_variasi_1
Coniosporium_sp_1	plant_pathogen	Coniosporium	Coniosporium_sp_1
Fusarium_brachygibbosum_1	plant_pathogen	Fusarium	Fusarium_brachygibbosum_1
Bisifusarium_biseptatum_2	litter_saprotroph	Bisifusarium	Bisifusarium_biseptatum_2
Plectosphaerella_cucumerina_1	plant_pathogen	Plectosphaerella	Plectosphaerella_cucumerina_1
Fusarium_sp_1	plant_pathogen	Fusarium	Fusarium_sp_1
Curvularia_americana_1	plant_pathogen	Curvularia	Curvularia_americana_1
Pleosporales_sp_1	unknown_primary_lyfestyle	Pleosporales_gen_Incertae_sedis	Pleosporales_sp_1
Chaetothyriales_sp_1	unknown_primary_lyfestyle	Chaetothyriales_gen_Incertae_sedis	Chaetothyriales_sp_1
Fusarium_oxysporum_1	plant_pathogen	Fusarium	Fusarium_oxysporum_1
Fungi_sp_1	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_1
Blastocladiales_sp_1	unknown_primary_lyfestyle	Blastocladiales_gen_Incertae_sedis	Blastocladiales_sp_1
GS11_sp_1	unknown_primary_lyfestyle	GS11_gen_Incertae_sedis	GS11_sp_1
Trichomeriaceae_sp_1	unknown_primary_lyfestyle	Trichomeriaceae_gen_Incertae_sedis	Trichomeriaceae_sp_1
Fungi_sp_2	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_2
Myrothecium_inundatum_1	litter_saprotroph	Myrothecium	Myrothecium_inundatum_1
Coniosporium_sp_2	plant_pathogen	Coniosporium	Coniosporium_sp_2
Retroconis_fusiformis_1	foliar_endophyte	Retroconis	Retroconis_fusiformis_1
Fusarium_buharicum_1	plant_pathogen	Fusarium	Fusarium_buharicum_1
Pyrenochaeta_sp_1	wood_saprotroph	Pyrenochaeta	Pyrenochaeta_sp_1
Remotididymella_anthropophila_1	animal_parasite	Remotididymella	Remotididymella_anthropophila_1
Kiskunsagia_ubrizsyi_1	root_endophyte	Kiskunsagia	Kiskunsagia_ubrizsyi_1
Coniosporium_sp_3	plant_pathogen	Coniosporium	Coniosporium_sp_3
Thelephoraceae_sp_1	unknown_primary_lyfestyle	Thelephoraceae_gen_Incertae_sedis	Thelephoraceae_sp_1
Trichoderma_amazonicum_1	mycoparasite	Trichoderma	Trichoderma_amazonicum_1
Subulicystidium_sp_1	wood_saprotroph	Subulicystidium	Subulicystidium_sp_1
Preussia_sp_1	dung_saprotroph	Preussia	Preussia_sp_1
Geopora_arenicola_1	ectomycorrhizal	Geopora	Geopora_arenicola_1
Tomentella_sp_1	ectomycorrhizal	Tomentella	Tomentella_sp_1
Metarhizium_robertsii_1	animal_parasite	Metarhizium	Metarhizium_robertsii_1
Lactarius_lacunarum_1	ectomycorrhizal	Lactarius	Lactarius_lacunarum_1
Kiskunsagia_ubrizsyi_2	root_endophyte	Kiskunsagia	Kiskunsagia_ubrizsyi_2
Russula_amoenoides_1	ectomycorrhizal	Russula	Russula_amoenoides_1
Candida_albicans_1	nectar/tap_saprotroph	Candida	Candida_albicans_1
Penicillium_pimiteouiense_1	unspecified_saprotroph	Penicillium	Penicillium_pimiteouiense_1
Rhynchogastrema_glucofermentans_1	soil_saprotroph	Rhynchogastrema	Rhynchogastrema_glucofermentans_1
Stachybotryaceae_sp_1	unknown_primary_lyfestyle	Stachybotryaceae_gen_Incertae_sedis	Stachybotryaceae_sp_1
Hannaella_zeae_1	animal_parasite	Hannaella	Hannaella_zeae_1
Kiskunsagia_ubrizsyi_3	root_endophyte	Kiskunsagia	Kiskunsagia_ubrizsyi_3
Hypocreales_sp_1	unknown_primary_lyfestyle	Hypocreales_gen_Incertae_sedis	Hypocreales_sp_1
Malassezia_sp_1	soil_saprotroph	Malassezia	Malassezia_sp_1
Kiskunsagia_ubrizsyi_4	root_endophyte	Kiskunsagia	Kiskunsagia_ubrizsyi_4
Pseudoarthrographis_sp_2	plant_pathogen	Pseudoarthrographis	Pseudoarthrographis_sp_2
Longihyalospora_ampeli_1	unknown_primary_lyfestyle	Longihyalospora	Longihyalospora_ampeli_1
Rhodotorula_mucilaginosa_1	unspecified_saprotroph	Rhodotorula	Rhodotorula_mucilaginosa_1
Aspergillus_pseudonomiae_1	unspecified_saprotroph	Aspergillus	Aspergillus_pseudonomiae_1
Lectera_capsici_1	plant_pathogen	Lectera	Lectera_capsici_1
Starmerella_neotropicalis_1	nectar/tap_saprotroph	Starmerella	Starmerella_neotropicalis_1
Aspergillus_viridinutans_1	unspecified_saprotroph	Aspergillus	Aspergillus_viridinutans_1
Tomentella_sp_2	ectomycorrhizal	Tomentella	Tomentella_sp_2
Montagnula_chiangraiensis_1	wood_saprotroph	Montagnula	Montagnula_chiangraiensis_1
Peziza_sp_2	soil_saprotroph	Peziza	Peziza_sp_2
Hirsutella_hongheensis_1	animal_parasite	Hirsutella	Hirsutella_hongheensis_1
Bisifusarium_biseptatum_3	litter_saprotroph	Bisifusarium	Bisifusarium_biseptatum_3
Fungi_sp_3	unknown_primary_lyfestyle	Fungi_gen_Incertae_sedis	Fungi_sp_3
Bipolaris_drechsleri_1	plant_pathogen	Bipolaris	Bipolaris_drechsleri_1
Nectriaceae_sp_1	unknown_primary_lyfestyle	Nectriaceae_gen_Incertae_sedis	Nectriaceae_sp_1
Malassezia_restricta_1	soil_saprotroph	Malassezia	Malassezia_restricta_1
Mortierellales_sp_1	unknown_primary_lyfestyle	Mortierellales_gen_Incertae_sedis	Mortierellales_sp_1
Xepicula_leucotricha_1	soil_saprotroph	Xepicula	Xepicula_leucotricha_1
Penicillium_nalgiovense_1	unspecified_saprotroph	Penicillium	Penicillium_nalgiovense_1
Agaricomycetes_sp_1	unknown_primary_lyfestyle	Agaricomycetes_gen_Incertae_sedis	Agaricomycetes_sp_1
Cordyceps_fumosorosea_1	animal_parasite	Cordyceps	Cordyceps_fumosorosea_1
Knufia_sp_1	soil_saprotroph	Knufia	Knufia_sp_1
GS05_sp_1	unknown_primary_lyfestyle	GS05_gen_Incertae_sedis	GS05_sp_1
Trechisporales_sp_1	unknown_primary_lyfestyle	Trechisporales_gen_Incertae_sedis	Trechisporales_sp_1
Aspergillus_ruber_1	unspecified_saprotroph	Aspergillus	Aspergillus_ruber_1
Discinellaceae_sp_1	unknown_primary_lyfestyle	Discinellaceae_gen_Incertae_sedis	Discinellaceae_sp_1
Linnemannia_amoeboidea_1	unknown_primary_lyfestyle	Linnemannia	Linnemannia_amoeboidea_1
Arthrographis_sp_1	unspecified_saprotroph	Arthrographis	Arthrographis_sp_1
Rozellomycota_sp_1	unknown_primary_lyfestyle	Rozellomycota_gen_Incertae_sedis	Rozellomycota_sp_1
Colletotrichum_aciculare_1	plant_pathogen	Colletotrichum	Colletotrichum_aciculare_1
Magnaporthiopsis_cynodontis_1	unspecified_pathotroph	Magnaporthiopsis	Magnaporthiopsis_cynodontis_1
Cladorrhinum_sp_1	unspecified_saprotroph	Cladorrhinum	Cladorrhinum_sp_1
Chaetothyriales_sp_2	unknown_primary_lyfestyle	Chaetothyriales_gen_Incertae_sedis	Chaetothyriales_sp_2
Fenestella_parafenestrata_1	wood_saprotroph	Fenestella	Fenestella_parafenestrata_1
Talaromyces_neofusisporus_1	unspecified_saprotroph	Talaromyces	Talaromyces_neofusisporus_1
Rozellomycota_sp_2	unknown_primary_lyfestyle	Rozellomycota_gen_Incertae_sedis	Rozellomycota_sp_2
Pezizaceae_sp_2	unknown_primary_lyfestyle	Pezizaceae_gen_Incertae_sedis	Pezizaceae_sp_2
