OTU	M1	M2	M3	M4	M5	M6	M7	M8
Pezizaceae_sp_1	212	75	25	2744	247	5116	10429	448
Pleosporales_sp_1	201	337	10	2362	201	2281	2197	205
Chaetothyriales_sp_1	127	116	4	41	473	807	4825	173
Fungi_sp_1	265	346	1312	817	3	2212	744	198
Blastocladiales_sp_1	207	432	26	1945	5	1066	1698	244
GS11_sp_1	30	6	22	4773	1	404	16	113
Trichomeriaceae_sp_1	118	663	2	427	2	2078	710	82
Fungi_sp_2	44	228	1300	1073	6	328	945	54
Thelephoraceae_sp_1	472	900	0	2	111	14	1120	19
Stachybotryaceae_sp_1	416	82	2	109	3	32	963	51
Hypocreales_sp_1	618	0	0	1	67	126	16	790
Longihyalospora_ampeli_1	64	225	4	374	1	29	658	60
Fungi_sp_3	30	12	111	103	403	478	98	7
Nectriaceae_sp_1	185	113	2	195	0	646	17	26
Mortierellales_sp_1	21	44	0	0	0	1	1097	3
Agaricomycetes_sp_1	12	3	2	1	2	1081	12	25
GS05_sp_1	34	1047	1	4	0	2	3	19
Trechisporales_sp_1	737	91	1	8	0	9	167	26
Discinellaceae_sp_1	16	15	2	3	0	19	906	27
Linnemannia_amoeboidea_1	47	70	770	0	0	6	73	14
Rozellomycota_sp_1	8	0	0	660	0	9	270	28
Chaetothyriales_sp_2	11	22	2	74	0	567	232	20
Rozellomycota_sp_2	13	44	0	42	3	204	455	154
Pezizaceae_sp_2	11	12	0	13	0	13	840	23
Ascomycota_sp_1	3	1	2	3	0	3	0	854
Ascomycota_sp_2	9	2	4	614	2	14	21	16
Lulworthiaceae_sp_1	92	570	2	4	0	1	0	12
Rhizophydiales_sp_1	11	17	2	22	0	233	353	15
Kiskunsagia_ubrizsyi_5	19	27	0	10	1	4	567	9
Ascomycota_sp_3	89	2	0	5	494	6	14	17
Allocanariomyces_tritici_1	23	1	6	0	5	174	3	394
Trichomeriaceae_sp_2	282	102	0	30	0	2	76	23
Fungi_sp_4	2	16	0	19	0	177	296	0
Fungi_sp_5	73	8	0	385	3	4	3	9
Fungi_sp_6	90	8	0	322	1	3	41	17
Chaetothyriales_sp_3	6	37	0	13	0	400	9	11
Ascomycota_sp_4	49	44	0	136	143	3	80	14
Sympoventuriaceae_sp_1	8	44	0	206	0	147	14	26
Rozellomycota_sp_3	8	22	3	27	0	357	7	14
Agaricomycetes_sp_2	274	47	2	52	0	2	27	4
Ascomycota_sp_5	150	40	0	32	0	116	59	5
Pleosporales_sp_2	10	1	0	0	0	385	4	0
Tympanidaceae_sp_1	87	3	1	4	0	257	6	14
Pleosporales_sp_3	10	145	0	140	2	6	51	13
Rozellomycota_sp_4	2	339	0	2	0	3	11	7
Kiskunsagia_ubrizsyi_6	0	136	1	62	0	82	51	10
Onygenales_sp_1	18	71	1	9	0	4	215	23
Sporormiaceae_sp_1	318	1	0	0	0	2	2	8
Pezizomycotina_sp_1	73	8	0	23	1	119	87	15
GS16_sp_1	6	3	214	1	0	6	68	25
Rozellomycota_sp_5	2	29	0	4	1	266	2	8
Rhizophydiales_sp_2	2	0	1	2	0	2	102	196
Herpotrichiellaceae_sp_1	3	6	153	5	130	2	0	6
GS23_sp_1	31	38	0	17	0	180	31	5
Xylariales_sp_1	1	2	0	2	0	278	2	11
Sordariomycetes_sp_1	1	96	34	3	9	122	12	8
Rozellomycota_sp_6	1	0	0	11	0	251	3	13
Hypocreales_sp_2	5	49	0	41	0	130	33	4
Rozellomycota_sp_7	1	1	0	0	252	0	0	3
Pezizomycotina_sp_2	5	5	0	212	0	6	15	7
Branch06_sp_1	10	2	0	192	0	7	2	33
GS11_sp_2	223	0	0	1	0	4	3	12
Fungi_sp_7	1	0	0	0	0	238	0	1
Ceratobasidiaceae_sp_1	48	2	1	29	0	1	136	19
Candolleomyces_luteopallidus_1	0	103	1	28	5	74	13	5
Fungi_sp_8	3	11	0	94	1	69	38	9
Orbiliales_sp_1	68	48	1	4	0	5	90	8
Necromortierella_dichotoma_1	1	0	0	2	211	0	0	1
Fungi_sp_9	47	97	0	25	0	5	25	14
Serendipitaceae_sp_1	0	0	0	0	0	132	10	67
Linnemannia_amoeboidea_2	7	0	0	0	191	2	1	3
Fungi_sp_10	32	42	1	6	0	3	95	24
Candolleomyces_sp_1	0	17	0	13	0	95	72	5
Coccodiniaceae_sp_1	1	2	0	0	198	0	0	1
Fungi_sp_11	2	13	0	4	0	168	4	10
Sordariales_sp_1	0	0	0	8	0	2	179	1
Fungi_sp_12	2	0	0	0	185	0	1	2
Chytridiomycetes_sp_1	0	0	2	0	0	187	1	0
Fungi_sp_13	39	0	0	1	0	29	3	114
Pleosporales_sp_4	3	3	0	1	1	174	0	3
Dictyosporiaceae_sp_1	83	42	1	28	0	1	25	4
GS11_sp_3	4	3	0	7	1	1	167	1
Ascomycota_sp_6	4	3	0	119	0	5	39	9
Fungi_sp_14	106	64	0	1	0	1	0	5
Fungi_sp_15	0	1	170	0	0	0	2	0
Sporormiaceae_sp_2	0	0	0	0	161	1	2	7
Glomeraceae_sp_1	10	103	2	40	0	5	3	5
Mortierellales_sp_2	3	22	0	47	2	0	82	11
Pezizomycotina_sp_3	28	30	0	51	0	54	1	2
Fungi_sp_16	4	0	0	2	0	157	0	2
Agaricales_sp_1	0	2	1	2	0	157	1	1
Fungi_sp_17	97	0	0	0	0	9	0	57
Rozellomycota_sp_8	26	81	0	38	0	0	16	1
Fungi_sp_18	138	1	0	7	2	5	1	4
Microascaceae_sp_1	18	69	0	10	1	2	55	3
Fungi_sp_19	6	118	0	10	3	2	12	3
Fungi_sp_20	0	0	0	0	0	144	2	2
GS10_sp_1	0	143	0	0	0	2	0	2
Kiskunsagia_ubrizsyi_7	1	70	0	61	0	0	3	10
GS11_sp_4	95	21	0	1	0	4	9	9
Branch06_sp_2	1	1	0	1	129	0	1	5
Cordycipitaceae_sp_1	1	0	0	0	0	131	0	5
GS23_sp_2	111	0	0	0	0	23	0	0
Herpotrichiellaceae_sp_2	2	1	1	2	0	68	46	8
Sordariomycetes_sp_2	8	0	0	5	1	77	5	30
Hypocreales_sp_3	0	7	0	1	1	98	16	2
Fungi_sp_21	2	119	0	2	0	0	1	0
Pezizaceae_sp_3	1	5	0	1	0	116	0	1
Fungi_sp_22	45	48	0	0	0	2	26	0
Fungi_sp_23	45	4	0	2	0	3	61	5
Clavulinaceae_sp_1	15	1	0	0	0	0	0	102
Chaetomiaceae_sp_1	0	1	0	0	0	112	1	3
Hermetothecium_mikaniae-micranthae_1	30	1	1	10	1	0	65	7
Pyronemataceae_sp_1	32	69	0	0	2	1	3	4
Mortierellaceae_sp_1	4	3	0	55	0	16	7	25
Pyronemataceae_sp_2	0	0	0	0	1	0	0	108
